congress_number,congress_start_year,position,last_name,first_name,middle_initial,nickname,suffix,birthday,birthplace,residence
17,2016,Senator,Honasan,Gregorio,B,Gringo,II,3/14/1948,Baguio City,Manila
17,2016,Senator,Hontiveros,Ana Theresia,N,Risa,,8/24/1966,Manila,Manila
17,2016,Senator,Lacson,Panfilo,M,Ping,,6/1/1948,Cavite,Cavite
17,2016,Senator,Legarda,Lorna Regina,B,Loren,,1/28/1960,Malabon City,Malabon City
17,2016,Senator,Pacquiao,Emmanuel,D,Manny,,12/17/1978,Bukidnon,Saranggani
17,2016,Senator,Pangilinan,Francis,,Kiko,,8/24/1963,Pampanga,Quezon City
17,2016,Senator,Poe,Mary Grace Natividad ,L,Grace,,9/3/1968,Iloilo City,Quezon City
17,2016,Senator,Trillanes,Antonio ,F,Sonny,IV,8/6/1971,Caloocan City,Caloocan City
17,2016,Senator,Villanueva,Emmanuel Joel,J,Joel,,8/2/1975,Bulacan,Bulacan
17,2016,Senator,Villar,Cynthia,A,,,7/29/1950,Muntinlupa City,Las Pinas City
16,2013,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
16,2013,Senator,Recto,Ralph,G,,,1/11/1964,Quezon City,Batangas
16,2013,Senator,Cayetano,Alan Peter,S,,,10/28/1970,Taguig City,Taguig City
16,2013,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
16,2013,Senator,Angara,Juan Edgardo,M,Sonny,,7/15/1972,Manila,Aurora
16,2013,Senator,Aquino,Paulo Benigno,A,Bam,IV,5/7/1977,Tarlac,Tarlac
16,2013,Senator,Binay,Maria Lourdes Nancy,S,Nancy,,5/12/1973,Makati City,Makati City
16,2013,Senator,Cayetano,Pia Juliana,S,Pia,,5/22/1966,Taguig City,Taguig City
16,2013,Senator,Defensor-Santiago,Miriam,P,,,6/15/1945,Iloilo City,Quezon City
16,2013,Senator,Ejercito,Joseph Victor,G,JV,,12/26/1969,San Juan City,San Juan City
16,2013,Senator,Escudero,Francis Joseph,G,Chiz,,10/10/1969,Sorsogon Sorsogon,
16,2013,Senator,Estrada,Jose Pimentel,E,Jinggoy,Jr,2/17/1963,San Juan City,San Juan City
16,2013,Senator,Guingona,Teofisto,T,TG,II,7/4/1928,San Juan City,San Juan City
16,2013,Senator,Honasan,Gregorio,B,Gringo,II,3/14/1948,Baguio City,Manila
16,2013,Senator,Lapid,Manuel,M,Lito,,10/25/1955,Pampanga,Pampanga
16,2013,Senator,Legarda,Lorna Regina,B,Loren,,1/28/1960,Malabon City,Malabon City
16,2013,Senator,Marcos,Ferdinand,R,Bongbong,,9/13/1957,Mandaluyong City,Ilocos Sur
16,2013,Senator,Osmena,Sergio,R,Serge,III,12/13/1943,Manila,IloIlo City
16,2013,Senator,Pimentel,Aquilino,L,Koko,III,1/20/1964,Cagayan de Oro,Cagayan de Oro
16,2013,Senator,Poe,Mary Grace Natividad ,L,Grace,,9/3/1968,Iloilo City,Quezon City
16,2013,Senator,Revilla,Ramon,,Bong,Jr,9/25/1966,Cavite,Cavite
16,2013,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
16,2013,Senator,Trillanes,Antonio ,F,Sonny,IV,8/6/1971,Caloocan City,Caloocan City
16,2013,Senator,Villar,Cynthia,A,,,7/29/1950,Muntinlupa City,Las Pinas City
15,2010,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
15,2010,Senator,Estrada,Jose Pimentel,E,Jinggoy,Jr,2/17/1963,San Juan City,San Juan City
15,2010,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
15,2010,Senator,Cayetano,Alan Peter,S,,,10/28/1970,Taguig City,Taguig City
15,2010,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
15,2010,Senator,Arroyo,Ceferino,P,Joker,Jr,1/5/1927,Camarines Sur,Makati City
15,2010,Senator,Cayetano,Pia Juliana,S,Pia,,5/22/1966,Taguig City,Taguig City
15,2010,Senator,Defensor-Santiago,Miriam,P,,,6/15/1945,Iloilo City,Quezon City
15,2010,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
15,2010,Senator,Escudero,Francis Joseph,G,Chiz,,10/10/1969,Sorsogon Sorsogon,
15,2010,Senator,Guingona,Teofisto,T,TG,II,7/4/1928,San Juan City,San Juan City
15,2010,Senator,Honasan,Gregorio,B,Gringo,II,3/14/1948,Baguio City,Manila
15,2010,Senator,Lacson,Panfilo,M,Ping,,6/1/1948,Cavite,Cavite
15,2010,Senator,Lapid,Manuel,M,Lito,,10/25/1955,Pampanga,Pampanga
15,2010,Senator,Legarda,Lorna Regina,B,Loren,,1/28/1960,Malabon City,Malabon City
15,2010,Senator,Marcos,Ferdinand,R,Bongbong,,9/13/1957,Mandaluyong City,Ilocos Sur
15,2010,Senator,Osmena,Sergio,R,Serge,III,12/13/1943,Manila,IloIlo City
15,2010,Senator,Pangilinan,Francis,N,Kiko,,8/24/1963,Pampanga,Quezon City
15,2010,Senator,Pimentel,Aquilino,L,Koko,III,1/20/1964,Cagayan de Oro,Cagayan de Oro
15,2010,Senator,Recto,Ralph,G,,,1/11/1964,Quezon City,Batangas
15,2010,Senator,Revilla,Ramon,,Bong,Jr,9/25/1966,Cavite,Cavite
15,2010,Senator,Trillanes,Antonio ,F,Sonny,IV,8/6/1971,Caloocan City,Caloocan City
15,2010,Senator,Villar,Manuel,B,Manny,,12/13/1949,Manila,Las Pinas City
15,2010,Senator,Zubiri,Juan Miguel,F,Migz,,4/13/1969,Makati City,Bukidnon
14,2007,Senator,Villar,Manuel,B,Manny,,12/13/1949,Manila,Las Pinas City
14,2007,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
14,2007,Senator,Estrada,Jose Pimentel,E,Jinggoy,Jr,2/17/1963,San Juan City,San Juan City
14,2007,Senator,Pangilinan,Francis,N,Kiko,,8/24/1963,Pampanga,Quezon City
14,2007,Senator,Zubiri,Juan Miguel,F,Migz,,4/13/1969,Makati City,Bukidnon
14,2007,Senator,Pimentel,Aquilino,Q,Nene,Jr,12/11/1933,Cagayan de Oro,Cagayan de Oro
14,2007,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
14,2007,Senator,Aquino,Benigno,A,Noynoy,III,2/8/1960,Tarlac,Tarlac
14,2007,Senator,Arroyo,Ceferino,P,Joker,Jr,1/5/1927,Camarines Sur,Makati City
14,2007,Senator,Biazon,Rodolfo,G,Pong,,4/14/1935,Ilocos Norte,Muntinlupa City
14,2007,Senator,Cayetano,Alan Peter,S,,,10/28/1970,Taguig City,Taguig City
14,2007,Senator,Cayetano,Pia Juliana,S,Pia,,5/22/1966,Taguig City,Taguig City
14,2007,Senator,Defensor-Santiago,Miriam,P,,,6/15/1945,Iloilo City,Quezon City
14,2007,Senator,Escudero,Francis Joseph,G,Chiz,,10/10/1969,Sorsogon Sorsogon,
14,2007,Senator,Gordon,Richard,J,Dick,Sr,8/5/1945,Zambales,Zambales
14,2007,Senator,Honasan,Gregorio,B,Gringo,II,3/14/1948,Baguio City,Manila
14,2007,Senator,Lacson,Panfilo,M,Ping,,6/1/1948,Cavite,Cavite
14,2007,Senator,Lapid,Manuel,M,Lito,,10/25/1955,Pampanga,Pampanga
14,2007,Senator,Legarda,Lorna Regina,B,Loren,,1/28/1960,Malabon City,Malabon City
14,2007,Senator,Madrigal,Maria Ana Consuelo,AS,Jamby,,4/26/1958,Manila,Manila
14,2007,Senator,Revilla,Ramon,,Bong,Jr,9/25/1966,Cavite,Cavite
14,2007,Senator,Roxas,Manuel,A,Mar,,5/13/1957,Manila,Manila
14,2007,Senator,Trillanes,Antonio ,F,Sonny,IV,8/6/1971,Caloocan City,Caloocan City
13,2004,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
13,2004,Senator,Villar,Manuel,B,Manny,,12/13/1949,Manila,Las Pinas City
13,2004,Senator,Flavier,Juan,M,,,6/23/1935,Manila,Manila
13,2004,Senator,Pangilinan,Francis,N,Kiko,,8/24/1963,Pampanga,Quezon City
13,2004,Senator,Pimentel,Aquilino,Q,Nene,Jr,12/11/1933,Cagayan de Oro,Cagayan de Oro
13,2004,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
13,2004,Senator,Arroyo,Ceferino,P,Joker,Jr,1/5/1927,Camarines Sur,Makati City
13,2004,Senator,Biazon,Rodolfo,G,Pong,,4/14/1935,Ilocos Norte,Muntinlupa City
13,2004,Senator,Cayetano,Pia Juliana,S,Pia,,5/22/1966,Taguig City,Taguig City
13,2004,Senator,Defensor-Santiago,Miriam,P,,,6/15/1945,Iloilo City,Quezon City
13,2004,Senator,Ejercito-Estrada,Luisa,P,Loi,,6/2/1930,Zambales,Zambales
13,2004,Senator,Gordon,Richard,J,Dick,Sr,8/5/1945,Zambales,SZambales
13,2004,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
13,2004,Senator,Estrada,Jose Pimentel,E,Jinggoy,Jr,2/17/1963,San Juan City,San Juan City
13,2004,Senator,Lacson,Panfilo,M,Ping,,6/1/1948,Cavite,Cavite
13,2004,Senator,Lapid,Manuel,M,Lito,,10/25/1955,Pampanga,Pampanga
13,2004,Senator,Lim,Alfredo,S,Fred,,12/21/1929,Manila,Manila
13,2004,Senator,Madrigal,Maria Ana Consuelo,AS,Jamby,,4/26/1958,Manila,Manila
13,2004,Senator,Magsaysay,Ramon,B,,Jr,6/5/1938,Manila,Manila
13,2004,Senator,Osmena,Sergio,R,Serge,III,12/13/1943,Manila,IloIlo City
13,2004,Senator,Recto,Ralph,G,,,1/11/1964,Quezon City,Batangas
13,2004,Senator,Revilla,Ramon,,Bong,Jr,9/25/1966,Cavite,Cavite
13,2004,Senator,Roxas,Manuel,A,Mar,,5/13/1957,Manila,Manila
12,2001,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
12,2001,Senator,Villar,Manuel,B,Manny,,12/13/1949,Manila,Las Pinas City
12,2001,Senator,Flavier,Juan,M,,,6/23/1935,Manila,Manila
12,2001,Senator,Legarda,Lorna Regina,B,Loren,,1/28/1960,Malabon City,Malabon City
12,2001,Senator,Pangilinan,Francis,N,Kiko,,8/24/1963,Pampanga,Quezon City
12,2001,Senator,Pimentel,Aquilino,Q,Nene,Jr,12/11/1933,Cagayan de Oro,Cagayan de Oro
12,2001,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
12,2001,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
12,2001,Senator,Aquino-Oreta,Maria Teresa,A,Tessie,,6/28/1944,Tarlac,Tarlac
12,2001,Senator,Arroyo,Ceferino,P,Joker,Jr,1/5/1927,Camarines Sur,Makati City
12,2001,Senator,Barbers,Robert,Z,Bobby,,1/19/1944,Surigao City,Surigao City
12,2001,Senator,Biazon,Rodolfo,G,Pong,,4/14/1935,Ilocos Norte,Muntinlupa City
12,2001,Senator,Cayetano,Renato,L,Rene,,12/12/1934,Pangasinan,Pangasinan
12,2001,Senator,De Castro,Manuel Leuterio,L,Noli,,7/6/1949,Oriental Mindoro,Quezon City
12,2001,Senator,Ejercito-Estrada,Luisa,P,Loi,,6/2/1930,Zambales,Zambales
12,2001,Senator,Honasan,Gregorio,B,Gringo,II,3/14/1948,Baguio City,Manila
12,2001,Senator,Jaworski,Robert,S,Jawo,,3/8/1946,Manila,Manila
12,2001,Senator,Lacson,Panfilo,M,Ping,,6/1/1948,Cavite,Cavite
12,2001,Senator,Magsaysay,Ramon,B,,Jr,6/5/1938,Manila,Manila
12,2001,Senator,Ople,Blas,F,,,2/3/1927,Bulacan,Bulacan
12,2001,Senator,Osmena,John Henry,R,,,1/17/1936,Cebu,Cebu
12,2001,Senator,Osmena,Sergio,R,Serge,III,12/13/1943,Manila,IloIlo City
12,2001,Senator,Recto,Ralph,G,,,1/11/1964,Quezon City,Batangas
12,2001,Senator,Revilla,Ramon,B,,Sr,3/8/1927,Cavite,Taguig
11,1998,Senator,Fernan,Marcelo,B,Celing,,10/24/1926,Cebu,Cebu
11,1998,Senator,Ople,Blas,F,,,2/3/1927,Bulacan,Bulacan
11,1998,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
11,1998,Senator,Pimentel,Aquilino,Q,Nene,Jr,12/11/1933,Cagayan de Oro,Cagayan de Oro
11,1998,Senator,Ople,Blas,F,,,2/3/1927,Bulacan,Bulacan
11,1998,Senator,Osmena,John Henry,R,,,1/17/1936,Cebu,Cebu
11,1998,Senator,Tatad,Francisco,S,Kit,,10/4/1939,Catanduanes,Catanduanes
11,1998,Senator,Guigona,Teofisto,T,,Jr,7/4/1928,San Juan City,San Juan City
11,1998,Senator,Aquino-Oreta,Maria Teresa,A,Tessie,,6/28/1944,Tarlac,Tarlac
11,1998,Senator,Barbers,Robert,Z,Bobby,,1/19/1944,Surigao City,Surigao City
11,1998,Senator,Biazon,Rodolfo,G,Pong,,4/14/1935,Ilocos Norte,Muntinlupa City
11,1998,Senator,Cayetano,Renato,L,Rene,,12/12/1934,Pangasinan,Pangasinan
11,1998,Senator,Coseteng,Anna Dominique,ML,Nikki,,12/18/1952,Manila,Manila
11,1998,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
11,1998,Senator,Flavier,Juan,M,,,6/23/1935,Manila,Manila
11,1998,Senator,Honasan,Gregorio,B,,II,3/14/1948,Baguio City,Manila
11,1998,Senator,Jaworski,Robert,S,Jawo,,3/8/1946,Manila,Manila
11,1998,Senator,Legarda,Lorna Regina,B,Loren,,1/28/1960,Malabon City,Malabon City
11,1998,Senator,Magsaysay,Ramon,B,,Jr,6/5/1938,Manila,Manila
11,1998,Senator,Osmena,Sergio,R,Serge,III,12/13/1943,Manila,IloIlo City
11,1998,Senator,Revilla,Ramon,B,,Sr,3/8/1927,Cavite,Taguig
11,1998,Senator,Roco,Raul,S,,,10/26/1941,Camarines Sur,Camarines Sur
11,1998,Senator,Defensor-Santiago,Miriam,P,,,6/15/1945,Iloilo City,Quezon City
11,1998,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
10,1995,Senator,Maceda,Ernesto,M,Ernie,,3/26/1935,Laguna,Laguna
10,1995,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
10,1995,Senator,Gonzales,Neptali,A,,,6/10/1923,Rizal,Rizal
10,1995,Senator,Ramos-Shahani,Leticia,V,,,9/30/1929,Pangasinan,Pangasinan
10,1995,Senator,Ople,Blas,F,,,2/3/1927,Bulacan,Bulacan
10,1995,Senator,Romulo,Alberto,G,,,8/7/1933,Tarlac,Tarlac
10,1995,Senator,Tatad,Francisco,S,Kit,,10/4/1939,Catanduanes,Catanduanes
10,1995,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
10,1995,Senator,Tanada,Wigberto,E,Bobby,Sr,8/13/1934,Quezon,Quezon
10,1995,Senator,Alvarez,Heherson,T,Sonny,,10/16/1939,Isabela,Isabela
10,1995,Senator,Coseteng,Anna Dominique,ML,Nikki,,12/18/1952,Manila,Manila
10,1995,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
10,1995,Senator,Fernan,Marcelo,B,Celing,,10/24/1926,Cebu,Cebu
10,1995,Senator,Flavier,Juan,M,,,6/23/1935,Manila,Manila
10,1995,Senator,Herrera,Ernesto,F,Boy,,9/11/1942,Cebu,Cebu
10,1995,Senator,Honasan,Gregorio,B,,II,3/14/1948,Baguio City,Manila
10,1995,Senator,Macapagal-Arroyo,Gloria,M,,,4/5/1947,Rizal,Rizal
10,1995,Senator,Magsaysay,Ramon,B,,Jr,6/5/1938,Manila,Manila
10,1995,Senator,Mercado,Orlando,S,,,4/26/1946,Manila,Manila
10,1995,Senator,Osmena,Sergio,R,Serge,III,12/13/1943,Manila,IloIlo City
10,1995,Senator,Revilla,Ramon,B,,Sr,3/8/1927,Cavite,Taguig
10,1995,Senator,Roco,Raul,S,,,10/26/1941,Camarines Sur,Camarines Sur
10,1995,Senator,Defensor-Santiago,Miriam,P,,,6/15/1945,Iloilo City,Quezon City
10,1995,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
10,1995,Senator,Webb,Freddie ,N,,,11/24/1942,Manila,Manila
9,1992,Senator,Gonzales,Neptali,A,,,6/10/1923,Rizal,Rizal
9,1992,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
9,1992,Senator,Maceda,Ernesto,M,Ernie,,3/26/1935,Laguna,Laguna
9,1992,Senator,Guigona,Teofisto,T,,Jr,7/4/1928,San Juan City,San Juan City
9,1992,Senator,Ramos-Shahani,Leticia,V,,,9/30/1929,Pangasinan,Pangasinan
9,1992,Senator,Romulo,Alberto,G,,,8/7/1933,Tarlac,Tarlac
9,1992,Senator,Tanada,Wigberto,E,Bobby,Sr,8/13/1934,Quezon,Quezon
9,1992,Senator,Alvarez,Heherson,T,Sonny,,10/16/1939,Isabela,Isabela
9,1992,Senator,Aquino,Agapito,A,Butz,,5/20/1939,Manila,Manila
9,1992,Senator,Biazon,Rodolfo,G,Pong,,4/14/1935,Ilocos Norte,Muntinlupa City
9,1992,Senator,Coseteng,Anna Dominique,ML,Nikki,,12/18/1952,Manila,Manila
9,1992,Senator,Herrera,Ernesto,F,Boy,,9/11/1942,Cebu,Cebu
9,1992,Senator,Lina,Jose,D,,Jr,12/22/1951,Laguna,Laguna
9,1992,Senator,Macapagal-Arroyo,Gloria,M,,,4/5/1947,Rizal,Rizal
9,1992,Senator,Mercado,Orlando,S,,,4/26/1946,Manila,Manila
9,1992,Senator,Ople,Blas,F,,,2/3/1927,Bulacan,Bulacan
9,1992,Senator,Osmena,John Henry,R,,,1/17/1936,Cebu,Cebu
9,1992,Senator,Rasul,Santanina,T,Nina,,9/14/1930,Sulu,Quezon City
9,1992,Senator,Revilla,Ramon,B,,Sr,3/8/1927,Cavite,Taguig
9,1992,Senator,Roco,Raul,S,,,10/26/1941,Camarines Sur,Camarines Sur
9,1992,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
9,1992,Senator,Tatad,Francisco,S,Kit,,10/4/1939,Catanduanes,Catanduanes
9,1992,Senator,Tolentino,Arturo,M,Turing,,9/19/1910,Manila,Manila
9,1992,Senator,Webb,Freddie ,N,,,11/24/1942,Manila,Manila
8,1987,Senator,Salonga,Jovito,R,Jovy,,6/22/1920,Pasig,Pasig
8,1987,Senator,Gonzales,Neptali,A,,,6/10/1923,Rizal,Rizal
8,1987,Senator,Guigona,Teofisto,T,,Jr,7/4/1928,San Juan City,San Juan City
8,1987,Senator,Laurel,Sotero Cosme,H,Teroy,,9/27/1918,Batangas,Batangas
8,1987,Senator,Maceda,Ernesto,M,Ernie,,3/26/1935,Laguna,Laguna
8,1987,Senator,Mercado,Orlando,S,,,4/26/1946,Manila,Manila
8,1987,Senator,Enrile,Juan Ponce,F,,,2/14/1924,Cagayan,Makati City
8,1987,Senator,Tanada,Wigberto,E,Bobby,Sr,8/13/1934,Quezon,Quezon
8,1987,Senator,Alvarez,Heherson,T,Sonny,,10/16/1939,Isabela,Isabela
8,1987,Senator,Angara,Edgardo,J,,,9/24/1934,Aurora,Aurora
8,1987,Senator,Aquino,Agapito,A,Butz,,5/20/1939,Manila,Manila
8,1987,Senator,Herrera,Ernesto,F,Boy,,9/11/1942,Cebu,Cebu
8,1987,Senator,Lina,Jose,D,,Jr,12/22/1951,Laguna,Laguna
8,1987,Senator,Manglapus,Raul,S,,,10/20/1918,Rizal,Rizal
8,1987,Senator,Osmena,John Henry,R,,,1/17/1936,Cebu,Cebu
8,1987,Senator,Paterno,Vicente,T,,,11/18/1925,Manila,Manila
8,1987,Senator,Pimentel,Aquilino,Q,Nene,Jr,12/11/1933,Cagayan de Oro,Cagayan de Oro
8,1987,Senator,Saguisag,Rene,AV,,,8/14/1939,Quezon,Quezon
8,1987,Senator,Rasul,Santanina,T,Nina,,9/14/1930,Sulu,Quezon City
8,1987,Senator,Ramos-Shahani,Leticia,V,,,9/30/1929,Pangasinan,Pangasinan
8,1987,Senator,Tamano,Mamintal,H,,,12/25/1928,Lanao,Lanao
8,1987,Senator,Ziga,Victor,S,Vic,,9/30/1945,Albay,Albay
7,1970,Senator,Puyat,Gil,J,,,9/1/1907,Manila,Manila
7,1970,Senator,Roy,Jose,J,,,7/19/1904,Tarlac,Tarlac
7,1970,Senator,Tolentino,Arturo,M,Turing,,9/19/1910,Manila,Manila
7,1970,Senator,Roxas,Gerardo Manuel,M,Gerry,,8/25/1924,Manila,Manila
7,1970,Senator,Almendras,Alejandro,D,,,2/27/1919,Cebu,Cebu
7,1970,Senator,Antonino,Magnolia,W,,,12/14/1915,La Union,La Union
7,1970,Senator,Aquino,Benigno,S,Ninoy,Jr,11/27/1932,Tarlac,Tarlac
7,1970,Senator,Aytona,Dominador,R,,,5/23/1918,Albay,Albay
7,1970,Senator,Benitez,Helena,Z,,,6/27/1914,Manila,Manila
7,1970,Senator,Diokno,Jose,W,,,2/26/1922,Manila,Manila
7,1970,Senator,Espina,Jesus Marino,,Rene,,12/26/1929,Cebu,Cebu
7,1970,Senator,Ilarde,Edgar,U,,,8/25/1934,Camarines Sur,Camarines Sur
7,1970,Senator,Estrada-Kalaw,Evangelina,,Eva,,6/16/1920,Tarlac,Tarlac
7,1970,Senator,Lagumbay,Wenceslao,R,,,9/28/1913,Laguna,Laguna
7,1970,Senator,Laurel,Salvador Roman,H,Doy,,11/18/1928,Manila,Manila
7,1970,Senator,Maceda,Ernesto,M,Ernie,,3/26/1935,Laguna,Laguna
7,1970,Senator,Magsaysay,Genaro,F,,,9/19/1924,Zambales,Zambales
7,1970,Senator,Mitra,Ramon,V,,Jr,2/4/1928,Palawan,Palawan
7,1970,Senator,Osmena,John Henry,R,,,1/17/1936,Cebu,Cebu
7,1970,Senator,Osmena,Sergio,V,,Jr,12/4/1916,Cebu,Cebu
7,1970,Senator,Padilla,Ambrosio,B,Bibby,,12/7/1910,Manila,Manila
7,1970,Senator,Pelaez,Emmanuel,N,,,11/30/1915,Misamis Oriental,Misamis Oriental
7,1970,Senator,Perez,Leonardo,B,,,11/22/1925,Nueva Vizcaya,Nueva Vizcaya
7,1970,Senator,Salonga,Jovito,R,Jovy,,6/22/1920,Pasig,Pasig
7,1970,Senator,Sumulong,Lorenzo,,,,9/5/1905,Rizal,Rizal
7,1970,Senator,Tamano,Mamintal,H,,,12/25/1928,Lanao,Lanao
7,1970,Senator,Tanada,Lorenzo,M,Tanny,,08/10/1898,Quezon,Quezon
7,1970,Senator,Teves,Lorenzo,G,,,4/29/1918,Negros Oriental,Negros Oriental
6,1966,Senator,Tolentino,Arturo,M,Turing,,9/19/1910,Manila,Manila
6,1966,Senator,Sumulong,Lorenzo,,,,9/5/1905,Rizal,Rizal
6,1966,Senator,Roy,Jose,J,,,7/19/1904,Tarlac,Tarlac
6,1966,Senator,Padilla,Ambrosio,B,Bibby,,12/7/1910,Manila,Manila
6,1966,Senator,Almendras,Alejandro,D,,,2/27/1919,Cebu,Cebu
6,1966,Senator,Antonino,Magnolia,W,,,12/14/1915,La Union,La Union
6,1966,Senator,Antonino,Gaudencio,E,,,2/9/1909,Nueva Ecija,Nueva Ecija
6,1966,Senator,Aquino,Benigno,S,Ninoy,Jr,11/27/1932,Tarlac,Tarlac
6,1966,Senator,Aytona,Dominador,R,,,5/23/1918,Albay,Albay
6,1966,Senator,Diokno,Jose,W,,,2/26/1922,Manila,Manila
6,1966,Senator,Ganzon,Rodolfo,T,,,3/22/1922,Iloilo City,IloIlo City
6,1966,Senator,Estrada-Kalaw,Evangelina,,Eva,,6/16/1920,Tarlac,Tarlac
6,1966,Senator,Kalaw-Katigbak,Maria,V,,,2/14/1912,Manila,Manila
6,1966,Senator,Lagumbay,Wenceslao,R,,,9/28/1913,Laguna,Laguna
